Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume AEB,Volume TC
2019-07-03,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-07-02,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-07-01,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-30,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-29,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-28,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-27,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-26,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-25,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-24,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-23,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-22,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-21,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-20,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-19,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-18,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-17,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-16,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-15,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-14,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-13,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
2019-06-12,AEBTC,0.0001951,0.0001951,0.0001951,0.0001951,0.0,0.0
